model,epoch,train_loss,val_macro_f1,val_balanced_accuracy,learning_rate
direct_resnet18,1,0.3221749313821347,0.9478800834733039,0.9627889451100413,0.00019659258262890683
direct_resnet18,2,0.11427912850952195,0.9750974993824293,0.9757283544290819,0.0001866025403784439
direct_resnet18,3,0.08284272607452188,0.9750974993824293,0.9757283544290819,0.00017071067811865476
direct_resnet18,4,0.07435386522537951,0.9736113759708901,0.9710965175353604,0.00015000000000000001
direct_resnet18,5,0.06141097209223173,0.9679829909639496,0.9798039607716481,0.0001258819045102521
